City,Place,avg_rating,review_count,short_description,auto_tag,auto_tags,top_keywords,pros,cons,recommendation_explanation
Adilabad,Kalwa Narsimha Swamy Temple,4.666666666666667,3,good place visit really love god friends family really lot things want wish comes true kalwa narasimha swami temple beautiful temple lot people visiting daily tholi ekadasi day special attraction,temple,"['temple', 'gurdwara', 'mosque']","['narasimha', 'lot', 'swami', 'sundays', 'temple']","['beautiful', 'family']",[],"Recommended because it matches temple, gurdwara interests. Visitors often mention narasimha, lot, swami. Top positives: beautiful, family."
Adilabad,Kawal Wildlife Sanctuary,3.857142857142857,14,forest dense sighting animals difficult spot deers nilgai wild boars langurs saw pug marks tiger initially people feel tensed start safari safari timings pm returning official tour saw board kawal,forest,"['forest', 'wildlife', 'food']","['safari', 'tiger', 'forest', 'wild', 'deers']","['maintained', 'affordable', 'memorable', 'excellent', 'great']","['waste', 'bad', 'difficult', 'hot']","Recommended because it matches forest, wildlife interests. Visitors often mention safari, tiger, forest. Top positives: maintained, affordable, memorable. Possible issues: waste, bad."
Adilabad,Kuntala Waterfall,4.056338028169014,71,amazing view adilabad kms stayed hotel ravi teja wake morning reach worth years thought need overnight stay nearby visit falls sunday decided started hyderabad nh route taken good kuntala waterfalls,waterfall,"['waterfall', 'mosque', 'food']","['hyderabad', 'falls', 'waterfalls', 'water', 'waterfall']","['fun', 'great', 'amazing', 'peace', 'lovely']","['waste', 'problem', 'crowded', 'poor', 'traffic']","Recommended because it matches waterfall, mosque interests. Visitors often mention hyderabad, falls, waterfalls. Top positives: fun, great, amazing. Possible issues: waste, problem."
Adilabad,Pochera Waterfalls,4.363636363636363,22,really fun great time water bathing enjoying really fun summer big waterfall good location forest park available biside waterfall good nice attraction need visit rain play water places small reservoir,waterfall,"['waterfall', 'food', 'river']","['falls', 'waterfall', 'water', 'waterfalls', 'bath']","['fun', 'maintained', 'safe', 'excellent', 'wonderful']","['parking', 'rainy', 'littered', 'dirty']","Recommended because it matches waterfall, food interests. Visitors often mention falls, waterfall, water. Top positives: fun, maintained, safe. Possible issues: parking, rainy."
Adilabad,Pranahita Wildlife Sanctuary,4.75,4,animals live forest pranahitha wild life best types birds reptiles way manchiryal chennur peacefull place little bit danger reptailes nature eyes directly saffary want place happy enjoy family want appear,wildlife,"['wildlife', 'forest', 'food']","['species', 'birds', 'deers', 'deer', 'jeep']","['family', 'best', 'excellent']",[],"Recommended because it matches wildlife, forest interests. Visitors often mention species, birds, deers. Top positives: family, best, excellent."
Adilabad,Saptha Kund,5.0,3,yeah cool weather nice atmosphere ennamo place enjoy anymore place home feels like real nature eyes waterfall sound creates enthusiasm waterfalls step water visited twice years feels like real nature,peaceful,"['peaceful', 'sunrise', 'sunset']","['waterfalls', 'waterfall', 'step', 'sound', 'eyes']",['cool'],[],"Recommended because it matches peaceful, sunrise interests. Visitors often mention waterfalls, waterfall, step. Top positives: cool."
Adilabad,Sathnala Dam,4.6,5,attractive location visit place enjoyed lot family members evening time attractive water lihts care selfies childrens bacaus hevy water damn locations visit photos beware selfish leave child care enjoy place,peaceful,"['peaceful', 'sunrise', 'lake']","['water', 'selfies', 'attractive', 'care', 'visit']","['maintained', 'pleasant', 'scenic', 'peace', 'family']",['hot'],"Recommended because it matches peaceful, sunrise interests. Visitors often mention water, selfies, attractive. Top positives: maintained, pleasant, scenic. Possible issues: hot."
Adilabad,Sivaram Wildlife Sanctuary,4.333333333333333,3,want shivaram jungle lions water crocodile wildlife animals appear like deer fox cheaters omg unbelievable place telangana yes place beautiful unexplored crocodiles went evening localite says afternoon visit place best,wildlife,"['wildlife', 'forest', 'food']","['crocodiles', 'boating', 'lions', 'crocodile', 'place']","['beautiful', 'best']",[],"Recommended because it matches wildlife, forest interests. Visitors often mention crocodiles, boating, lions. Top positives: beautiful, best."
Adimaly,Indian Spices & Herbal Garden,3.1818181818181817,11,garden visited indian spices herbal garden interested spice plantation driver stopped route alleppey munnar entry fee rs head high lady guide good maintenance beautiful place really wonderful place place make,food,"['food', 'street_food', 'forest']","['munnar', 'garden', 'spice', 'spices', 'driver']","['beautiful', 'maintained', 'wonderful']","['expensive', 'avoid']","Recommended because it matches food, street_food interests. Visitors often mention munnar, garden, spice. Top positives: beautiful, maintained, wonderful. Possible issues: expensive, avoid."
Adipur,Gandhi Samadhi,4.375,8,gandhi samadhi peaceful place samadhi gandhiji people came history tranquil peacfull lovely walled gardens tended lot tomb course approach walk tomb nice nd place india delhi gandhi ashes kept decently,gurdwara,"['gurdwara', 'palace', 'temple']","['gandhi', 'samadhi', 'garden', 'tomb', 'kept']","['maintained', 'tranquil', 'peace', 'lovely', 'peaceful']",[],"Recommended because it matches gurdwara, palace interests. Visitors often mention gandhi, samadhi, garden. Top positives: maintained, tranquil, peace."
Adipur,Sant Lilashah Kutiya,4.0,5,seen place door rooms bricks bricks built holy samadhi sai lilashah ji true yogiraj sevamurti schools colleges goushala asrhrams seva kendra india went saturday evening serve lunches festivals going parents,gurdwara,"['gurdwara', 'temple', 'food']","['sai', 'samadhi', 'evening', 'hyderabad', 'town']","['pleasant', 'holy', 'calm']",[],"Recommended because it matches gurdwara, temple interests. Visitors often mention sai, samadhi, evening. Top positives: pleasant, holy, calm."
Adipur,Somaiya Kala Vidya,4.3125,16,took day embroidery class skv lovely experience got personal attention different teachers learned basic techniques soof rabari embroidery teachers staff skf kind thanks picked self guided map tour judy opened,temple,"['temple', 'shopping', 'food']","['block', 'kutch', 'craft', 'tour', 'traditional']","['great', 'beautiful', 'amazing', 'traditional', 'lovely']",[],"Recommended because it matches temple, shopping interests. Visitors often mention block, kutch, craft. Top positives: great, beautiful, amazing."
Adoni,Adoni Fort,4.2,5,place actually ranamandala anjaneya swamy temple situated hillock amidst forts constructed prior vijayanagara empire steep flight steps temple atop quiet environs temple temples near fort ruins anjaneya swamitemple guhalingam temple,temple,"['temple', 'spiritual', 'food']","['temple', 'fort', 'steps', 'hanuman', 'place']","['yummy', 'wonderful', 'excellent', 'amazing', 'peaceful']",[],"Recommended because it matches temple, spiritual interests. Visitors often mention temple, fort, steps. Top positives: yummy, wonderful, excellent."
Adoor,Mannadi Devi Temple,4.0,2,mannadi devi temple km adoor ksrtc stand goddess durga deity spiritual place mannadi pazhaya kavu bhagavathi temple goddess supreme power km adoor mannadi place note kerala history place veluthambi dalawa,gurdwara,"['gurdwara', 'palace', 'spiritual']","['goddess', 'freedom', 'durga', 'km', 'kerala']","['spiritual', 'great']",[],"Recommended because it matches gurdwara, palace interests. Visitors often mention goddess, freedom, durga. Top positives: spiritual, great."
Adoor,Trichennamangalam Mahadevar Temple,4.4,5,famous shiva temple regularly visit attraction temple festival kettu kazcha famous temple dedicated lord shiva situated adoor town lord shiva temple gods temple complex easily accessible located kms adoor feel,temple,"['temple', 'gurdwara', 'palace']","['temple', 'shiva', 'famous', 'regularly', 'lord']","['blessed', 'calm']",[],"Recommended because it matches temple, gurdwara interests. Visitors often mention temple, shiva, famous. Top positives: blessed, calm."
Agartala,Baramura Eco Park,5.0,1,nice park khowai dist tripura cover park easily hours entry fee rs sitting arrangement huge improvement required making attracting wooden bridge main entry gate,food,"['food', 'temple', 'palace']","['entry', 'park', 'wooden', 'improvement', 'arrangement']",[],[],"Recommended because it matches food, temple interests. Visitors often mention entry, park, wooden."
Agartala,Benu Ban Bihari Temple,4.5,2,good places visit town stress free day nice beautiful ambience holiness air heart city hindu temple famous crowded mornings evenings lot people seen inside temple praying,spiritual,"['spiritual', 'temple', 'gurdwara']","['stress', 'praying', 'mornings', 'temple', 'evenings']",['beautiful'],['crowded'],"Recommended because it matches spiritual, temple interests. Visitors often mention stress, praying, mornings. Top positives: beautiful. Possible issues: crowded."
Agartala,Benuban Vihar,4.0,2,nice surroundings vegetation alive place beauty air place crowded park small buddhist temple city auto rickshaw come religious place ticket place usual locals sites,food,"['food', 'spiritual', 'peaceful']","['place', 'buddhist', 'alive', 'rickshaw', 'sites']",[],['crowded'],"Recommended because it matches food, spiritual interests. Visitors often mention place, buddhist, alive. Possible issues: crowded."
Agartala,Chowda Devta Temple,3.5,4,really place visit famous fourteen statues different deities hindu mythology nice location chowda devta temple fourteen goddess temple temple far city situated open area enjoyed surroundings calm place crowd went,palace,"['palace', 'gurdwara', 'spiritual']","['temple', 'washing', 'mythology', 'sorry', 'priest']",['calm'],[],"Recommended because it matches palace, gurdwara interests. Visitors often mention temple, washing, mythology. Top positives: calm."
Agartala,Domboor Lake,4.5,4,beautiful fresh water lake clean water lot fishing happens place local fishermen good boating ride clean water lake calmness flow teaches continuity life flow mesmerises wonders work best water body,lake,"['lake', 'river', 'resort']","['lake', 'water', 'flow', 'power', 'fishermen']","['clean', 'beautiful', 'awesome', 'sunset', 'fresh']",[],"Recommended because it matches lake, river interests. Visitors often mention lake, water, flow. Top positives: clean, beautiful, awesome."
Agartala,Dumboor Lake,4.5,4,lake good boat ride avoided rainy season enjoyed summer winter places visited life memorable inspirational nice clean water continuously flowing say best place tripura lake unexplored ordinary lake association island,lake,"['lake', 'sunset', 'river']","['lake', 'water', 'island', 'avoided', 'sunrise']","['clean', 'memorable', 'sunrise', 'beautiful', 'scenic']",['rainy'],"Recommended because it matches lake, sunset interests. Visitors often mention lake, water, island. Top positives: clean, memorable, sunrise. Possible issues: rainy."
Agartala,Fourteen Goddess Temple,4.125,24,temple watch visit time june bengali ashar month huge mela organised near temple lasts days personally recommend visit time goddess temple tourist religious place tripura year month ashar july seven,gurdwara,"['gurdwara', 'temple', 'palace']","['temple', 'gods', 'deities', 'old', 'worshiped']","['clean', 'maintained', 'holy', 'great', 'beautiful']",[],"Recommended because it matches gurdwara, temple interests. Visitors often mention temple, gods, deities. Top positives: clean, maintained, holy."
Agartala,Gedu Miar Maszid,3.8,5,situated heart city agartala oldest mosque agartala holy place muslims carrying tradition long ago mosque holy place worship fro muslims clean nice surroundings maszid position attract tourists went congested lanes,mosque,"['mosque', 'food', 'palace']","['mosque', 'lane', 'congested', 'narrow', 'opposite']","['clean', 'beautiful', 'holy']","['congested', 'difficult', 'parking']","Recommended because it matches mosque, food interests. Visitors often mention mosque, lane, congested. Top positives: clean, beautiful, holy. Possible issues: congested, difficult."
Agartala,Gedumian Mosque,4.0,2,mosques structure really nice visit holy place worship really clean mosque situated congested lanes heart agartala city properly maintained place visit inside masjid worth visit,mosque,"['mosque', 'spiritual', 'palace']","['masjid', 'mosque', 'lanes', 'congested', 'visit']","['clean', 'maintained', 'holy']",['congested'],"Recommended because it matches mosque, spiritual interests. Visitors often mention masjid, mosque, lanes. Top positives: clean, maintained, holy. Possible issues: congested."
Agartala,Gondacherra Wildlife Sanctuary,4.25,4,place fauna problematic maintenance known tourist spot lack infrastructure makes standard nice place quite lush green locality amazing fauna various varieties plants dont know maintained lack infrastructure lack skilled zoo,wildlife,"['wildlife', 'forest', 'peaceful']","['lack', 'fauna', 'infrastructure', 'jeeps', 'zoo']","['lush', 'maintained', 'green', 'amazing']",[],"Recommended because it matches wildlife, forest interests. Visitors often mention lack, fauna, infrastructure. Top positives: lush, maintained, green."
Agartala,Haveli Museum,3.8333333333333335,6,haveli museum located temple haveli museum old palace agartala converted museum useful know history princely state tripura learnt bigger state place really collects heritage awesome collected items artifacts dating history,heritage,"['heritage', 'palace', 'local_experience']","['museum', 'haveli', 'models', 'culture', 'maps']","['cultural', 'heritage', 'maintained', 'awesome']",['rush'],"Recommended because it matches heritage, palace interests. Visitors often mention museum, haveli, models. Top positives: cultural, heritage, maintained. Possible issues: rush."
Agartala,Heritage Park,4.5,48,located heart agartala town place appreciative seperate enclosure parking street food disorder filthiness associated park park entrance ambience brought good embossed local murals keen observation park miniatures heritage sites attractions,local_experience,"['local_experience', 'food', 'heritage']","['park', 'heritage', 'miniature', 'place', 'state']","['great', 'amazing', 'peace', 'lovely', 'calm']",['parking'],"Recommended because it matches local_experience, food interests. Visitors often mention park, heritage, miniature. Top positives: great, amazing, peace. Possible issues: parking."
Agartala,ISKCON Temple,4.6,5,peaceful place like iskcon temples parts world india place beautiful quite happening place devotees events music dance worship place relaxing peaceful temple famous miracle creates visit famous temple situated market,spiritual,"['spiritual', 'gurdwara', 'pilgrimage']","['worship', 'iskon', 'place', 'iskcon', 'temple']","['peaceful', 'beautiful', 'peace', 'relaxing']",[],"Recommended because it matches spiritual, gurdwara interests. Visitors often mention worship, iskon, place. Top positives: peaceful, beautiful, peace."
Agartala,"ISKCON, Math Chowmuhani",4.375,8,place inside math people worship tribute lord krishna lord balarama goddess subhadra agartala went iskcon temple temples neat clean beautiful agartala temple small located market area entrance colourful impressive inside,temple,"['temple', 'gurdwara', 'spiritual']","['temple', 'iskcon', 'lord', 'math', 'prasadam']","['clean', 'beautiful', 'sweet']",[],"Recommended because it matches temple, gurdwara interests. Visitors often mention temple, iskcon, lord. Top positives: clean, beautiful, sweet."
Agartala,Jagannath Temple,4.129032258064516,31,big compound number temples peaceful place happen hindu complex houses various gods lord jagannath centrepiece nice temple quiet environment looking spiritual agartala specially recommend place meal buying coupons lunch entry,temple,"['temple', 'spiritual', 'gurdwara']","['jagannath', 'temple', 'palace', 'puri', 'lord']","['clean', 'maintained', 'holy', 'excellent', 'beautiful']","['rude', 'crowded']","Recommended because it matches temple, spiritual interests. Visitors often mention jagannath, temple, palace. Top positives: clean, maintained, holy. Possible issues: rude, crowded."
Agartala,Jampui Hill,4.125,16,scenary breathtaking accomodation eden tourist lodge disappointing suitable families women children evening falls p starts getting intoxicated p hotel staff security guards drivers playing loud music consuming alcohol excellent agartalites,food,"['food', 'hill', 'trekking']","['lodge', 'hill', 'hills', 'station', 'green']","['lush', 'luxurious', 'clean', 'wonderful', 'excellent']","['rainy', 'bad', 'broken', 'disappointing']","Recommended because it matches food, hill interests. Visitors often mention lodge, hill, hills. Top positives: lush, luxurious, clean. Possible issues: rainy, bad."
Agartala,Kalapania Nature Park,4.6,5,large park maintained pond beautiful statues garden surely enjoy time spent worth visit really overrated upto level place really nice bring family trip amidst nature ia big natural park near,forest,"['forest', 'garden', 'wildlife']","['park', 'minister', 'plantation', 'nature', 'camp']","['great', 'beautiful', 'family', 'maintained']",[],"Recommended because it matches forest, garden interests. Visitors often mention park, minister, plantation. Top positives: great, beautiful, family."
Agartala,Kalibari Temple,3.875,8,temple bangladesh border great temple maa kali temple person agartala udaipur tripura sundari bus mid way person auto temple famous thousand devotees temple crowed monday temple quite famous locals day,temple,"['temple', 'spiritual', 'gurdwara']","['temple', 'kali', 'sagar', 'border', 'quite']","['great', 'beautiful', 'maintained', 'greenery']",['parking'],"Recommended because it matches temple, spiritual interests. Visitors often mention temple, kali, sagar. Top positives: great, beautiful, maintained. Possible issues: parking."
Agartala,Kalyan Sagar Lake,4.125,16,beautiful lake gaze afternoon heat bear spend time alos overcrowded local vendors kept hassling buy stuff overall good view located nearby tripursundari temple lake neat clean saw water cleaning process,lake,"['lake', 'food', 'spiritual']","['lake', 'fish', 'fishes', 'temple', 'udaipur']","['clean', 'maintained', 'great', 'beautiful', 'sacred']","['heat', 'overcrowded', 'rainy']","Recommended because it matches lake, food interests. Visitors often mention lake, fish, fishes. Top positives: clean, maintained, great. Possible issues: heat, overcrowded."
Agartala,Kamala Sagar,3.625,8,kamala sagar temple devoted maa kaali indo bangla border lake adjucent temple bath entering temple temple believed mighty devotees come wished offering devi amazing place worship goddess durga nice belief,gurdwara,"['gurdwara', 'spiritual', 'mosque']","['kali', 'temple', 'border', 'bath', 'lake']","['clean', 'historic', 'amazing', 'sunset', 'serene']",['polluted'],"Recommended because it matches gurdwara, spiritual interests. Visitors often mention kali, temple, border. Top positives: clean, historic, amazing. Possible issues: polluted."
Agartala,Kamaleswari Temple,4.09375,32,kali temple situated border town kasba tripura location beautiful peaceful place offerings pray god peace simply sit meditate inside temple little activity road temple good condition visited reaching temple peaceful,gurdwara,"['gurdwara', 'mosque', 'spiritual']","['border', 'temple', 'kali', 'lake', 'sagar']","['lush', 'clean', 'maintained', 'holy', 'great']","['rush', 'crowded']","Recommended because it matches gurdwara, mosque interests. Visitors often mention border, temple, kali. Top positives: lush, clean, maintained. Possible issues: rush, crowded."
Agartala,Kunjaban Palace,2.75,4,structure damaged guard allow anybody inside tourist place skipped outer views classy interior designs inpire historical arts crafts used place rabindranath tagore used stay visited agartala apparently days lush green,palace,"['palace', 'ruins', 'heritage']","['palace', 'crafts', 'used', 'designs', 'fields']","['lush', 'great', 'green']","['damaged', 'broken', 'dirty']","Recommended because it matches palace, ruins interests. Visitors often mention palace, crafts, used. Top positives: lush, great, green. Possible issues: damaged, broken."
Agartala,Malancha Niwas,3.5,8,malancha niwas place rabindranath tagore used stay came agartala difficult place place surrounded metal fence rated place big shot require maintenance needs renovation nice location good staffs royal palace government,palace,"['palace', 'gurdwara', 'temple']","['building', 'maharaja', 'house', 'abode', 'guest']",['heritage'],['difficult'],"Recommended because it matches palace, gurdwara interests. Visitors often mention building, maharaja, house. Top positives: heritage. Possible issues: difficult."
Agartala,Neermahal Palace,4.070422535211268,142,quite near udaipur tripura situated middle rudra lake white single story building inspired lake palace udaipur rajasthan smaller scale need hire boat people hired boat palace situated middle lake nice,palace,"['palace', 'food', 'lake']","['palace', 'lake', 'boat', 'place', 'middle']","['safe', 'pleasant', 'great', 'amazing', 'spectacular']","['expensive', 'waste', 'poor', 'heat', 'dirty']","Recommended because it matches palace, food interests. Visitors often mention palace, lake, boat. Top positives: safe, pleasant, great. Possible issues: expensive, waste."
Agartala,Nehru Park,4.444444444444445,9,rs entry fee inside garden maintained lot couples sitting inside visited place statue nahruji middle garden good place lots greenery flowers good stroll evening morning lots couples come day time,garden,"['garden', 'palace', 'food']","['park', 'good', 'flowers', 'couples', 'place']","['lush', 'clean', 'maintained', 'excellent', 'beautiful']",['congested'],"Recommended because it matches garden, palace interests. Visitors often mention park, good, flowers. Top positives: lush, clean, maintained. Possible issues: congested."
Agartala,Ram Thakur's Ashram,4.0,1,temple far away ujjayanta palace devotes ram thakur visit place spent minutes temple clean crowded,palace,"['palace', 'temple', 'spiritual']","['ram', 'temple', 'palace', 'spent', 'minutes']",['clean'],['crowded'],"Recommended because it matches palace, temple interests. Visitors often mention ram, temple, palace. Top positives: clean. Possible issues: crowded."
Agartala,Ramkrishna Mission,4.0,4,ramkrishna mission temple spread big area library ground floor bought books temple floor temple dedicated ramkrishnaparam hans good literature related ramkrishna life swami vivekanand deeds place recommended place sri ramkrishna,temple,"['temple', 'gurdwara', 'spiritual']","['temple', 'january', 'floor', 'st', 'plenty']",[],[],"Recommended because it matches temple, gurdwara interests. Visitors often mention temple, january, floor."
Agartala,Ravindra Kanan,4.5,8,ravindra kanan situated near circuit house agartala tree flower collections great good family park visit nearby gardens agartala ravindrakanan nehru park heritage park ravindrakanan nice garden garden remains open hours,garden,"['garden', 'food', 'gurdwara']","['park', 'bhawan', 'raj', 'flower', 'house']","['maintained', 'great', 'beautiful', 'heritage', 'family']",['expensive'],"Recommended because it matches garden, food interests. Visitors often mention park, bhawan, raj. Top positives: maintained, great, beautiful. Possible issues: expensive."
Agartala,Rose Valley Amusement Park,4.5,10,nice place spend quality time friends family visit place city oh yes wandering job operating awesome joy sources bridges really nice experience like place absolutely zero crowd place like sweet,fine_dining,"['fine_dining', 'food', 'local_experience']","['amusement', 'park', 'rope', 'place', 'parks']","['fun', 'maintained', 'affordable', 'awesome', 'refreshing']","['waste', 'costly', 'overpriced']","Recommended because it matches fine_dining, food interests. Visitors often mention amusement, park, rope. Top positives: fun, maintained, affordable. Possible issues: waste, costly."
Agartala,Rudrasagar Lake,4.2,15,special maintained boat journey neermahal minutes journey pleasant boat ride nice expected winter migratory birds available look palace boat excellent magnificent neermahal midst beautiful lake fascinating sight view reflection palace,palace,"['palace', 'lake', 'resort']","['lake', 'boat', 'palace', 'mahal', 'ride']","['maintained', 'wonderful', 'excellent', 'pleasant', 'great']",['dirty'],"Recommended because it matches palace, lake interests. Visitors often mention lake, boat, palace. Top positives: maintained, wonderful, excellent. Possible issues: dirty."
Agartala,Sepahijala Wild Life Sanctuary,4.190476190476191,42,sepahijala wildlife sanctuary visit entire day animals natural environment animals look healthy fit sanctuary country zoo inside famous spectacle monkey clouded leopard zoo attractive spectacle monkey situated forest increases livelyhood,forest,"['forest', 'wildlife', 'food']","['zoo', 'sanctuary', 'animals', 'wildlife', 'leopard']","['lush', 'maintained', 'affordable', 'excellent', 'wonderful']","['traffic', 'problem', 'hot', 'parking']","Recommended because it matches forest, wildlife interests. Visitors often mention zoo, sanctuary, animals. Top positives: lush, maintained, affordable. Possible issues: traffic, problem."
Agartala,Sipahijala Wildlife Sanctuary,4.04,50,lovely wildlife sanctuary enter sanctuary private vehicle dare offbeat path lucky spot animals way zoo riding km sipahijala wildlife sanctuary beautiful experience wildlife fantastic vegetation atmosphere superb thing lacked time,forest,"['forest', 'wildlife', 'peaceful']","['sanctuary', 'zoo', 'animals', 'wildlife', 'wild']","['great', 'amazing', 'lovely', 'comfortable', 'calm']","['problem', 'poor', 'dirty', 'difficult', 'avoid']","Recommended because it matches forest, wildlife interests. Visitors often mention sanctuary, zoo, animals. Top positives: great, amazing, lovely. Possible issues: problem, poor."
Agartala,Sukanta Academy,4.75,4,good experience visit place awesome paintings display artifacts graffitis walls good u vising kids collection models science materials worth visit nice place visit kids planeterium enjoy journey sun mars science,festival,"['festival', 'family_friendly', 'museum']","['science', 'planetarium', 'sun', 'journey', 'fun']","['best', 'fun', 'awesome']",[],"Recommended because it matches festival, family_friendly interests. Visitors often mention science, planetarium, sun. Top positives: best, fun, awesome."
